normalized_title,representative_title,match_status,match_confidence,failure_reason,candidate_1_title,candidate_1_url,candidate_2_title,candidate_2_url,candidate_3_title,candidate_3_url
eve online revelations,Eve Online Revelations,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
everquest 2,Everquest 2,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
everquest 2b,Everquest 2 B,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
everquest echoes of faydwer,Everquest Echoes Of Faydwer,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
evil genius,Evil Genius,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
faces of war,Faces of War,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fahrenheit,Fahrenheit,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fahrenheit v 1,Fahrenheit v 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fallout 3,Fallout 3,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fantastic movie,Fantastic Movie,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
far cry instincts predator technologie,Far Cry Instincts Predator Technologie,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
filme,Filme,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fire department,Fire Department,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
flat out,Flat Out,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
flatout,Flatout,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
forsaken,Forsaken,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fraps,Fraps,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
free civ,Free Civ,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
free commander,Free Commander,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
freedom force,Freedom Force,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
french street racing,French Street Racing,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
fritz,Fritz,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
fu ball manager08,Fußball Manager 08,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
fu ball manager09,Fußball Manager 09,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
fu ball manager2008v 8 0,Fußball Manager 2008 v 8 0,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
full auto,Full Auto,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
full auto battlelines,Full Auto Battlelines,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
full spectrum warrior,Full Spectrum Warrior,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
gentleman,Gentleman,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
ging gong boxen,Ging Gong Boxen,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
godzilla final wars,Godzilla Final Wars,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
haunted house,Haunted House,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
highway pursuit,Highway Pursuit,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
himmel und huhn,Himmel und Huhn,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
hurrican,Hurrican,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
ice breaker,Ice Breaker,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
icewind dale,Icewind Dale,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
icewind dale herz des winters,Icewind Dale - Herz des Winters,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
imperium romanum,Imperium Romanum,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
imperium romanum v 1,Imperium Romanum v 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
in80 tagen um die welt,In 80 Tagen um die Welt,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
indeo 5,Indeo 5,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
iron man,Iron Man,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
iron man v 1,Iron Man v 1,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
isabell werth reitsport,Isabell Werth Reitsport,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
jack keane,Jack Keane,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
jack keane v 1 0,Jack Keane v 1 0,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
jagdfieber,Jagdfieber,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
jagged alliance wildfire,Jagged Alliance Wildfire,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
john woos stranglehold,John Woos Stranglehold,ambiguous,low,multiple plausible Wikipedia search results,,,,,,
juiced,Juiced,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
juiced v 1 01,Juiced v 1 01,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
jumping jack,Jumping Jack,ambiguous,low,multiple plausible Wikimedia entities,,,,,,
