normalized_title,representative_title,canonical_title,canonical_slug,match_status,match_confidence,match_method,override_applied,match_source,match_source_url
command conquer dieersten jahrev,Command Conquer Dieersten Jahrev,,,unmatched,low,wikimedia,false,,
command conquer tiberium wars,Command Conquer Tiberium Wars,,,ambiguous,low,wikipedia-search,false,,
command conquer tiberium wars world editor,Command Conquer Tiberium Wars World Editor,,,unmatched,low,wikimedia,false,,
command conquer tiberium warsv,Command Conquer Tiberium Warsv,,,unmatched,low,wikimedia,false,,
command conquer3 tiberium wars karten editor,Command Conquer3 Tiberium Wars Karten Editor,,,unmatched,low,wikimedia,false,,
commandand conquer,Commandand Conquer,,,unmatched,low,wikimedia,false,,
commandos hinter feindlichen linien,Commandos Hinter feindlichen Linien,Commandos: Hinter feindlichen Linien,commandos-hinter-feindlichen-linien,matched,high,wikipedia-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Commandos%3A_Hinter_feindlichen_Linien
commandos strike force,Commandos Strike Force,Commandos: Strike Force,commandos-strike-force,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Commandos%3A_Strike_Force
comodo backup,Comodo Backup,Comodo Backup,comodo-backup,matched,high,wikidata-search,false,wikipedia-other,https://it.wikipedia.org/wiki/Comodo_Backup
companyof heroes,Companyof Heroes,,,unmatched,low,wikimedia,false,,
companyof heroesv,Companyof Heroesv,,,unmatched,low,wikimedia,false,,
conflict desert storm,Conflict Desert Storm,Conflict: Desert Storm,conflict-desert-storm,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Conflict%3A_Desert_Storm
conflict global storm,Conflict Global Storm,Conflict: Global Terror,conflict-global-terror,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Conflict%3A_Global_Terror
conflict vietnam,Conflict Vietnam,Conflict: Vietnam,conflict-vietnam,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Conflict%3A_Vietnam
coogles,Coogles,,,unmatched,low,wikimedia,false,,
cosmic family,Cosmic Family,Cosmic Family,cosmic-family,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cosmic_Family
cossacks 2,Cossacks 2,Cossacks II: Napoleonic Wars,cossacks-ii-napoleonic-wars,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cossacks_II%3A_Napoleonic_Wars
cossacks 2 napoleonic wars,Cossacks 2 Napoleonic Wars,,,ambiguous,low,wikipedia-search,false,,
cossacks back to war,Cossacks Back to War,,,ambiguous,low,wikipedia-search,false,,
cossacks battlefor europe,Cossacks Battlefor Europe,,,unmatched,low,wikimedia,false,,
cossacks battlefor europev,Cossacks Battlefor Europev,,,unmatched,low,wikimedia,false,,
cossacks european wars,Cossacks European Wars,Cossacks: European Wars,cossacks-european-wars,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cossacks%3A_European_Wars
cpucool,CPUCool,,,unmatched,low,wikimedia,false,,
crashday,Crashday,Crashday,crashday,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Crashday
crazy frog racer feat the annoying thing,Crazy Frog Racer Feat The Annoying Thing,,,ambiguous,low,wikipedia-search,false,,
crazy kickers xs,Crazy Kickers XS,,,unmatched,low,wikimedia,false,,
crazy machines,Crazy Machines,,,ambiguous,low,wikidata-search,false,,
crazy machines 2,Crazy Machines 2,Crazy Machines 2,crazy-machines-2,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Crazy_Machines_2
crazy machines2cm,Crazy Machines2cm,,,unmatched,low,wikimedia,false,,
crazy symbol sudoku,Crazy Symbol Sudoku,,,unmatched,low,wikimedia,false,,
creature conflict,Creature Conflict,Creature Conflict: The Clan Wars,creature-conflict-the-clan-wars,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Creature_Conflict%3A_The_Clan_Wars
crillion,Crillion,Q108577051,q108577051,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q108577051
cross racing championship,Cross Racing Championship,Cross Racing Championship 2005,cross-racing-championship-2005,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Cross_Racing_Championship_2005
crysis,Crysis,,,ambiguous,low,wikidata-search,false,,
crysis mod sdk 1,Crysis Mod SDK 1,,,unmatched,low,wikimedia,false,,
crysis mod sdk10,Crysis Mod SDK10,,,unmatched,low,wikimedia,false,,
crysis mod sdk12,Crysis Mod SDK12,,,unmatched,low,wikimedia,false,,
crystal racer,Crystal Racer,,,unmatched,low,wikimedia,false,,
csi eindeutige beweise,CSI Eindeutige Beweise,,,unmatched,low,wikimedia,false,,
csicrime scene investigation mordin dimensionen,CSICrime Scene Investigation Mordin Dimensionen,,,unmatched,low,wikimedia,false,,
csicrime scene investigations dark motives lsungsbuch,CSICrime Scene Investigations Dark Motives Lsungsbuch,,,unmatched,low,wikimedia,false,,
csieindeutige beweise,CSIEindeutige Beweise,,,unmatched,low,wikimedia,false,,
cycek nad new,CYCEK NAD NEW GAME,,,unmatched,low,wikimedia,false,,
daemonica,Daemonica,Daemonica,daemonica,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Daemonica
dame xxl,Dame XXL,,,unmatched,low,wikimedia,false,,
dark age of camelot,Dark Age of Camelot,,,ambiguous,low,wikidata-search,false,,
dark age of camelot shrouded isles,Dark Age of Camelot + Shrouded Isles,,,ambiguous,low,wikipedia-search,false,,
dark horizon,Dark Horizon,Dark Horizon,dark-horizon,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Dark_Horizon
dark messiahof might magicv,Dark Messiahof Might Magicv,,,unmatched,low,wikimedia,false,,
dark messiahof mightand magicv,Dark Messiahof Mightand Magicv,,,unmatched,low,wikimedia,false,,
dark project der meisterdieb,Dark Project Der Meisterdieb,Dark Project: Der Meisterdieb,dark-project-der-meisterdieb,matched,high,wikipedia-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Dark_Project%3A_Der_Meisterdieb
dark quiz,Dark Quiz,,,unmatched,low,wikimedia,false,,
darkstar one,Darkstar One,DarkStar One,darkstar-one,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/DarkStar_One
darkstar onev,Darkstar Onev,,,unmatched,low,wikimedia,false,,
das ausbildungscamp,Das Ausbildungscamp,,,unmatched,low,wikimedia,false,,
das bergwerk,Das Bergwerk,Q56254541,q56254541,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q56254541
das chinesische viertel,Das chinesische Viertel,,,unmatched,low,wikimedia,false,,
das eulemberg experiment,Das Eulemberg Experiment,Q124423636,q124423636,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q124423636
das geheimlabor,Das Geheimlabor,,,unmatched,low,wikimedia,false,,
das geheimnis der vergessenen h hle,Das Geheimnis der vergessenen Höhle,Echo: Secrets of the Lost Cavern,echo-secrets-of-the-lost-cavern,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Echo%3A_Secrets_of_the_Lost_Cavern
das haessliche entlein,Das haessliche Entlein,,,ambiguous,low,wikipedia-search,false,,
das hafenviertel,Das Hafenviertel,,,unmatched,low,wikimedia,false,,
das schwarze auge drakensang,Das Schwarze Auge - Drakensang,,,ambiguous,low,wikipedia-search,false,,
das verm chtnis testament of sin,Das Vermächtnis - Testament of Sin,,,unmatched,low,wikimedia,false,,
dashliche entlein,Dashliche Entlein,,,unmatched,low,wikimedia,false,,
dawnof magic,Dawnof Magic,,,unmatched,low,wikimedia,false,,
dead or alive 4,Dead or Alive 4,Dead or Alive 4,dead-or-alive-4,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Dead_or_Alive_4
dead reefs,Dead Reefs,Dead Reefs,dead-reefs,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Dead_Reefs
deadly weaponz,Deadly Weaponz,,,unmatched,low,wikimedia,false,,
deador alive,Deador Alive,,,unmatched,low,wikimedia,false,,
deepolis online,deepolis online,,,ambiguous,low,wikipedia-search,false,,
defrag,Disk Defrag,,,ambiguous,low,wikidata-search,false,,
deine reitschule,Deine Reitschule,,,ambiguous,low,wikipedia-search,false,,
delta force xtreme,Delta Force Xtreme,Delta Force: Xtreme,delta-force-xtreme,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Delta_Force%3A_Xtreme
der bauernhof,Der Bauernhof,,,ambiguous,low,wikidata-search,false,,
der bunker,Der Bunker,,,ambiguous,low,wikidata-search,false,,
der fluch der zwerge 1,Der Fluch der Zwerge 1,,,unmatched,low,wikimedia,false,,
der fluch des goldes xs,Der Fluch des Goldes XS,,,unmatched,low,wikimedia,false,,
der herr der ringe,Der Herr der Ringe,Der Herr der Ringe,der-herr-der-ringe,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Der_Herr_der_Ringe
der herr der ringe die schlacht um mittelerde 2,Der Herr der Ringe Die Schlacht um Mittelerde 2,Der Herr der Ringe: Die Schlacht um Mittelerde 2,der-herr-der-ringe-die-schlacht-um-mittelerde-2,matched,high,wikipedia-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Der_Herr_der_Ringe%3A_Die_Schlacht_um_Mittelerde_2
der herrder ringe die schlachtum mittelerde,Der Herrder Ringe Die Schlachtum Mittelerde,,,unmatched,low,wikimedia,false,,
der herrder ringe die schlachtum mittelerdev,Der Herrder Ringe Die Schlachtum Mittelerdev,,,unmatched,low,wikimedia,false,,
der herrder ringe dsu maufstiegdes hexenknigs,Der Herrder Ringe DSu MAufstiegdes Hexenknigs,,,unmatched,low,wikimedia,false,,
der herrder ringe online,Der Herrder Ringe Online,,,unmatched,low,wikimedia,false,,
der herrder ringe online die schattenvon angmar,Der Herrder Ringe Online Die Schattenvon Angmar,,,unmatched,low,wikimedia,false,,
der industriegigant,Der Industriegigant,,,unmatched,low,wikimedia,false,,
der pate,Der Pate,,,unmatched,low,wikimedia,false,,
der trakt,Der Trakt,,,unmatched,low,wikimedia,false,,
der verkehrsgigant,Der Verkehrsgigant Gold,,,unmatched,low,wikimedia,false,,
der wohnwagen,Der Wohnwagen,,,unmatched,low,wikimedia,false,,
desperados 2 cooper s revenge,Desperados 2 - Cooper's Revenge,,,unmatched,low,wikimedia,false,,
desperados coopers revenge,Desperados Coopers Revenge,,,unmatched,low,wikimedia,false,,
desperados coopers revengev,Desperados Coopers Revengev,,,unmatched,low,wikimedia,false,,
destroy all humans,Destroy All Humans,,,unmatched,low,wikimedia,false,,
deutschland singt online,Deutschland Singt Online,,,unmatched,low,wikimedia,false,,
devil kings,Devil Kings,,,unmatched,low,wikimedia,false,,
devil may cry,Devil May Cry,,,unmatched,low,wikimedia,false,,
devil may cry 3,Devil May Cry 3,,,unmatched,low,wikimedia,false,,
devil may cry4,Devil May Cry4,,,unmatched,low,wikimedia,false,,
dhmodtool,DHModtool,,,unmatched,low,wikimedia,false,,
diablo spezial,Diablo Spezial,,,unmatched,low,wikimedia,false,,
diablo3 spezial,Diablo3 Spezial,,,unmatched,low,wikimedia,false,,
diamantenfee,Diamantenfee,,,unmatched,low,wikimedia,false,,
diamantenfee 2,Diamantenfee 2,,,unmatched,low,wikimedia,false,,
die biene maja flieg majaflieg,Die Biene Maja Flieg Majaflieg,,,unmatched,low,wikimedia,false,,
die chroniken von narnia,Die Chroniken von Narnia,,,unmatched,low,wikimedia,false,,
die drei musketiere,Die drei Musketiere,,,unmatched,low,wikimedia,false,,
die fischverladestelle,Die Fischverladestelle,,,unmatched,low,wikimedia,false,,
die gilde,Die Gilde,,,unmatched,low,wikimedia,false,,
die gilde 2,Die Gilde 2,,,unmatched,low,wikimedia,false,,
die gilde seeruberder hanse,Die Gilde Seeruberder Hanse,,,unmatched,low,wikimedia,false,,
die hazienda,Die Hazienda,,,unmatched,low,wikimedia,false,,
die kieselsteiner,Die Kieselsteiner,,,unmatched,low,wikimedia,false,,
die kunst des mordens geheimakte fbi,Die Kunst des Mordens Geheimakte FBI,,,unmatched,low,wikimedia,false,,
die kunstdes mordens geheimakte fbi,Die Kunstdes Mordens Geheimakte FBI,,,unmatched,low,wikimedia,false,,
die legenden und m rchen von ash kale 1,Die Legenden und Märchen von Ash'kale 1,,,unmatched,low,wikimedia,false,,
die lemuren,Die Lemuren,,,unmatched,low,wikimedia,false,,
die metrostation,Die Metrostation,,,unmatched,low,wikimedia,false,,
die rache der sith,Die Rache der Sith,,,unmatched,low,wikimedia,false,,
die rmer,Die Rmer,,,unmatched,low,wikimedia,false,,
die schalendes zorns,Die Schalendes Zorns,,,unmatched,low,wikimedia,false,,
die schlacht um mittelerde,Die Schlacht um Mittelerde,,,unmatched,low,wikimedia,false,,
die schlacht um mittelerde 2,Die Schlacht um Mittelerde 2,,,unmatched,low,wikimedia,false,,
die siedler,Die Siedler,,,unmatched,low,wikimedia,false,,
die siedler 2 die n chste generation,Die Siedler 2 Die nächste Generation,,,unmatched,low,wikimedia,false,,
die siedler 4,Die Siedler 4,,,unmatched,low,wikimedia,false,,
die siedler aufbruch der kulturen,Die Siedler Aufbruch der Kulturen,,,unmatched,low,wikimedia,false,,
die siedler aufstiegeines knigreichs,Die Siedler Aufstiegeines Knigreichs,,,unmatched,low,wikimedia,false,,
die siedler das erbe der k nige,Die Siedler Das Erbe der Könige,,,unmatched,low,wikimedia,false,,
die siedler dienchste generation,Die Siedler Dienchste Generation,,,unmatched,low,wikimedia,false,,
die siedler dienchste generationv,Die Siedler Dienchste Generationv,,,unmatched,low,wikimedia,false,,
die siedler hiebe f r diebe,Die Siedler Hiebe für Diebe,,,unmatched,low,wikimedia,false,,
die siedler honigfrden knig,Die Siedler Honigfrden Knig,,,unmatched,low,wikimedia,false,,
die siedler2 dienchste generation,Die Siedler2 Dienchste Generation,,,unmatched,low,wikimedia,false,,
die siedlerv,Die Siedlerv,,,unmatched,low,wikimedia,false,,
die sims 2 open for business,Die Sims 2 Open for Business,,,unmatched,low,wikimedia,false,,
die sims 2 wilde campus j,Die Sims 2 Wilde Campus J,,,unmatched,low,wikimedia,false,,
die sims 2v,Die Sims 2 v,,,unmatched,low,wikimedia,false,,
die sims erste schritte,Die Sims Erste Schritte,,,unmatched,low,wikimedia,false,,
die sims haustiere,Die Sims Haustiere,,,unmatched,low,wikimedia,false,,
die sims haustierev,Die Sims Haustierev,,,unmatched,low,wikimedia,false,,
die sims lebensgeschichten,Die Sims Lebensgeschichten,,,unmatched,low,wikimedia,false,,
die sims nightlifev,Die Sims Nightlifev,,,unmatched,low,wikimedia,false,,
die sims openfor businessv,Die Sims Openfor Businessv,,,unmatched,low,wikimedia,false,,
die sims vier jahreszeiten,Die Sims Vier Jahreszeiten,,,unmatched,low,wikimedia,false,,
die spedition,Die Spedition,,,unmatched,low,wikimedia,false,,
die teppichklinik,Die Teppichklinik,,,unmatched,low,wikimedia,false,,
die unglaublichen,Die Unglaublichen,,,unmatched,low,wikimedia,false,,
die v lker,Die Völker,,,unmatched,low,wikimedia,false,,
dikowsk ru land,"Dikowsk, Rußland",,,unmatched,low,wikimedia,false,,
dino island,Dino Island,,,unmatched,low,wikimedia,false,,
dirty split,Dirty Split,,,unmatched,low,wikimedia,false,,
diver deep water adventuresv,Diver Deep Water Adventuresv,,,unmatched,low,wikimedia,false,,
diverse hintergrnde,Diverse Hintergrnde,,,unmatched,low,wikimedia,false,,
divine divinity,Divine Divinity,,,unmatched,low,wikimedia,false,,
divx 5,Divx 5,,,unmatched,low,wikimedia,false,,
divx 5 2,Divx 5 2,,,unmatched,low,wikimedia,false,,
divx 5 2 1,Divx 5 2 1,,,unmatched,low,wikimedia,false,,
divx 6,Divx 6 Play,,,unmatched,low,wikimedia,false,,
divx 6 xp,Divx 6 Play (XP),,,unmatched,low,wikimedia,false,,
divx me,Divx ME,,,unmatched,low,wikimedia,false,,
divx xp,Divx Play XP,,,unmatched,low,wikimedia,false,,
doggleberry,Doggleberry,,,unmatched,low,wikimedia,false,,
dont angry 2,Dont Angry 2,,,unmatched,low,wikimedia,false,,
doogle berry,Doogle Berry,,,unmatched,low,wikimedia,false,,
doom 3z hunter 1,Doom 3 Z Hunter 1,,,unmatched,low,wikimedia,false,,
double crossfire,Double Crossfire,,,unmatched,low,wikimedia,false,,
dove,Dove,,,unmatched,low,wikimedia,false,,
doxan,Doxan,,,unmatched,low,wikimedia,false,,
dr horst,Dr Horst,,,unmatched,low,wikimedia,false,,
dracula origin,Dracula Origin,,,unmatched,low,wikimedia,false,,
dracula twins,Dracula Twins,,,unmatched,low,wikimedia,false,,
dragonshard,Dragonshard,,,unmatched,low,wikimedia,false,,
dragonshardv,Dragonshardv,,,unmatched,low,wikimedia,false,,
drakensang,Drakensang,,,unmatched,low,wikimedia,false,,
dream pinball dtwo worlds,Dream Pinball DTwo Worlds,,,unmatched,low,wikimedia,false,,
dreamcube,Dreamcube,,,unmatched,low,wikimedia,false,,
dreamfall the longest journey,Dreamfall The Longest Journey,,,unmatched,low,wikimedia,false,,
dreamlords,Dreamlords,,,unmatched,low,wikimedia,false,,
dreamlords the re awakening,Dreamlords - The Re Awakening,,,unmatched,low,wikimedia,false,,
driving speed 2,Driving Speed 2,,,unmatched,low,wikimedia,false,,
driving speed2,Driving Speed2,,,unmatched,low,wikimedia,false,,
dsl manager,DSL Manager,,,unmatched,low,wikimedia,false,,
dslmanager,DSLManager,,,unmatched,low,wikimedia,false,,
dungeon lords,Dungeon Lords,,,unmatched,low,wikimedia,false,,
dungeon quest,dungeon quest,,,unmatched,low,wikimedia,false,,
dungeon siege,Dungeon Siege,,,unmatched,low,wikimedia,false,,
dungeon siege 2,Dungeon Siege 2,,,unmatched,low,wikimedia,false,,
dungeons dragons online,Dungeons Dragons Online,,,unmatched,low,wikimedia,false,,
dvdhllenzum ausdrucken,DVDHllenzum Ausdrucken,,,unmatched,low,wikimedia,false,,
dvdhuellezum drucken,DVDHuellezum Drucken,,,unmatched,low,wikimedia,false,,
dxball,DXBall,,,unmatched,low,wikimedia,false,,
dyn aero mcr01 ultraleicht,Dyn Aero MCR01 Ultraleicht,,,unmatched,low,wikimedia,false,,
dzial 1,dzial 1,,,unmatched,low,wikimedia,false,,
dzial 2,dzial 2,,,unmatched,low,wikimedia,false,,
dzial 3,dzial 3,,,unmatched,low,wikimedia,false,,
dzial 4,dzial 4,,,unmatched,low,wikimedia,false,,
dzial 5,dzial 5,,,unmatched,low,wikimedia,false,,
earth defense force,Earth Defense Force,,,unmatched,low,wikimedia,false,,
earth2150 blue planet,Earth 2150 Blue Planet,,,unmatched,low,wikimedia,false,,
earth2150 lost souls,Earth 2150 Lost Souls,,,unmatched,low,wikimedia,false,,
earth2150 moon project,Earth 2150 Moon Project,,,unmatched,low,wikimedia,false,,
earth2160,Earth 2160,,,unmatched,low,wikimedia,false,,
easy bcd 1 7,Easy BCD 1 7,,,unmatched,low,wikimedia,false,,
easy bcd171,Easy BCD171,,,unmatched,low,wikimedia,false,,
easytoolz,Easytoolz,,,unmatched,low,wikimedia,false,,
easytoolz 2,Easytoolz 2,,,unmatched,low,wikimedia,false,,
easytoolz22,Easytoolz22,,,unmatched,low,wikimedia,false,,
edna bricht aus,Edna bricht aus,,,unmatched,low,wikimedia,false,,
ednabrichtaus,Ednabrichtaus,,,unmatched,low,wikimedia,false,,
egon adventure,EGon Adventure,,,unmatched,low,wikimedia,false,,
eisenbahnexe professional,Eisenbahnexe Professional,,,unmatched,low,wikimedia,false,,
el coro mexiko,"El Coro, Mexiko",,,unmatched,low,wikimedia,false,,
elveon,Elveon,,,unmatched,low,wikimedia,false,,
emergency 2,Emergency 2,,,unmatched,low,wikimedia,false,,
emergency 3,Emergency 3,,,unmatched,low,wikimedia,false,,
emergency global fighters for life,Emergency Global Fighters For Life,,,unmatched,low,wikimedia,false,,
emergency global fightersfor life,Emergency Global Fightersfor Life,,,unmatched,low,wikimedia,false,,
empire earth 2,Empire Earth 2,,,unmatched,low,wikimedia,false,,
empire earth 3,Empire Earth 3,,,unmatched,low,wikimedia,false,,
empire earth3,Empire Earth3,,,unmatched,low,wikimedia,false,,
empires die neuzeit,Empires Die Neuzeit,,,unmatched,low,wikimedia,false,,
enchanted arms,Enchanted Arms,,,unmatched,low,wikimedia,false,,
endwar,Endwar,,,unmatched,low,wikimedia,false,,
enemy territory quake wars,Enemy Territory Quake Wars,Enemy Territory: Quake Wars,enemy-territory-quake-wars,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Enemy_Territory%3A_Quake_Wars
enigma,Enigma,,,ambiguous,low,wikidata-search,false,,
enigma rising tide,Enigma Rising Tide,,,ambiguous,low,wikipedia-search,false,,
enthusia pro,Enthusia Pro,Enthusia Professional Racing,enthusia-professional-racing,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Enthusia_Professional_Racing
eragon,Eragon,Eragon (video game),eragon-video-game,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Eragon_%28video_game%29
eragonfilm,Eragonfilm,,,unmatched,low,wikimedia,false,,
erbe der k nige,Erbe der Könige Demo,,,unmatched,low,wikimedia,false,,
erfahrung display,ERFAHRUNG display,,,unmatched,low,wikimedia,false,,
escapefrom paradise city,Escapefrom Paradise City,,,unmatched,low,wikimedia,false,,
esculli la llengua del,Esculli la llengua del,,,unmatched,low,wikimedia,false,,
eternal silence 3,Eternal Silence 3,,,ambiguous,low,wikipedia-search,false,,
eurofighter typhoon,Eurofighter Typhoon,Eurofighter Typhoon (video game),eurofighter-typhoon-video-game,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Eurofighter_Typhoon_%28video_game%29
europa raser,Europa Raser,Europe Racer,europe-racer,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Europe_Racer
europa universalis,Europa Universalis,,,ambiguous,low,wikidata-search,false,,
europa universalis rome,Europa Universalis Rome,Europa Universalis: Rome,europa-universalis-rome,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Europa_Universalis%3A_Rome
europa universalisv,Europa Universalisv,,,unmatched,low,wikimedia,false,,
eve online revelations,Eve Online Revelations,,,ambiguous,low,wikipedia-search,false,,
eveonline the second genesis,EVEOnline The Second Genesis,,,unmatched,low,wikimedia,false,,
everest ultimate,Everest Ultimate Edition,,,unmatched,low,wikimedia,false,,
everlight elfen an die macht,Everlight Elfen an die Macht,,,unmatched,low,wikimedia,false,,
everlight elfenandie macht,Everlight Elfenandie Macht,,,unmatched,low,wikimedia,false,,
everquest 2,Everquest 2,,,ambiguous,low,wikidata-search,false,,
everquest 2b,Everquest 2 B,,,ambiguous,low,wikipedia-search,false,,
everquest echoes of faydwer,Everquest Echoes Of Faydwer,,,ambiguous,low,wikipedia-search,false,,
everquest kingdomof sky,Everquest Kingdomof Sky,,,unmatched,low,wikimedia,false,,
evil genius,Evil Genius,,,ambiguous,low,wikidata-search,false,,
evochron alliance,Evochron Alliance,Evochron Alliance,evochron-alliance,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Evochron_Alliance
evolution gt,Evolution GT,Corvette Evolution GT,corvette-evolution-gt,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Corvette_Evolution_GT
experience112,Experience112,EXperience112,experience112,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/EXperience112
extreme tux racer,Extreme Tux Racer,Extreme Tux Racer,extreme-tux-racer,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Extreme_Tux_Racer
faces of war,Faces of War,,,ambiguous,low,wikidata-search,false,,
facesof war,Facesof War,,,unmatched,low,wikimedia,false,,
facesof warv,Facesof Warv,,,unmatched,low,wikimedia,false,,
faesuper hornet,FAESuper Hornet,,,unmatched,low,wikimedia,false,,
fahr simulator2009,Fahr Simulator 2009,,,unmatched,low,wikimedia,false,,
fahrenheit,Fahrenheit,,,ambiguous,low,wikidata-search,false,,
falafel king,Falafel King,מלך הפלאפל,,matched,high,wikidata-search,false,wikipedia-other,https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%9A_%D7%94%D7%A4%D7%9C%D7%90%D7%A4%D7%9C
fallobst arcade,Fallobst Arcade,,,unmatched,low,wikimedia,false,,
fallout 3,Fallout 3,,,ambiguous,low,wikidata-search,false,,
fallout3,Fallout3,Fallout 3,fallout-3,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Fallout_3
fantastic movie,Fantastic Movie,,,ambiguous,low,wikipedia-search,false,,
far cry instincts,Far Cry Instincts,Far Cry Instincts,far-cry-instincts,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Far_Cry_Instincts
far cry instincts predator technologie,Far Cry Instincts Predator Technologie,,,ambiguous,low,wikipedia-search,false,,
far cryv,Far Cryv,,,unmatched,low,wikimedia,false,,
fast lane carnage,Fast Lane Carnage,,,unmatched,low,wikimedia,false,,
fearv,FEARv,,,unmatched,low,wikimedia,false,,
fessierumtauf,Fessierumtauf,,,unmatched,low,wikimedia,false,,
fette sau xs,Fette Sau XS,,,unmatched,low,wikimedia,false,,
feyruna der feenwald,Feyruna Der Feenwald,,,unmatched,low,wikimedia,false,,
fiat panda fun racer,Fiat Panda Fun Racer,,,unmatched,low,wikimedia,false,,
field ops,Field Ops,Q110817105,q110817105,matched,high,wikidata-search,false,wikidata,https://www.wikidata.org/wiki/Q110817105
fiesta online,Fiesta Online,Fiesta Online,fiesta-online,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Fiesta_Online
fifa football2005,FIFA Football 2005,FIFA Football 2005,fifa-football-2005,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/FIFA_Football_2005
fifafuball weltmeisterschaft,FIFAFuball Weltmeisterschaft,,,unmatched,low,wikimedia,false,,
fight night round 3,Fight Night Round 3,Fight Night Round 3,fight-night-round-3,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Fight_Night_Round_3
filme,Filme,,,ambiguous,low,wikidata-search,false,,
fire department,Fire Department,,,ambiguous,low,wikidata-search,false,,
fire department 2,Fire Department 2,Fire Department 2,fire-department-2,matched,high,wikidata-search,false,wikipedia-de,https://de.wikipedia.org/wiki/Fire_Department_2
flat out,Flat Out,,,ambiguous,low,wikidata-search,false,,
flatout,Flatout,,,ambiguous,low,wikidata-search,false,,
fliegenkiller,Fliegenkiller,,,unmatched,low,wikimedia,false,,
flight gear,Flight Gear,FlightGear,flightgear,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/FlightGear
flip mysz inv,flip mysz inv,,,unmatched,low,wikimedia,false,,
flottes bienchen,Flottes Bienchen,,,unmatched,low,wikimedia,false,,
flugratten,Flugratten,,,unmatched,low,wikimedia,false,,
football manager2005,Football Manager 2005,Football Manager 2005,football-manager-2005,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Football_Manager_2005
football manager2006,Football Manager 2006 Gold,Football Manager 2006,football-manager-2006,matched,high,wikipedia-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Football_Manager_2006
ford racing 3,Ford Racing 3,Ford Racing 3,ford-racing-3,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Ford_Racing_3
forsaken,Forsaken,,,ambiguous,low,wikidata-search,false,,
fragoria,Fragoria,Fragoria,fragoria,matched,high,wikidata-search,false,wikipedia-en,https://en.wikipedia.org/wiki/Fragoria
fraps,Fraps,,,ambiguous,low,wikidata-search,false,,
fraps 2 9,Fraps 2 9,,,unmatched,low,wikimedia,false,,
