normalized_title,representative_title,first_seen_issue,issue_count,occurrence_count,best_confidence,source_kinds,game_id,first_seen_year,last_seen_issue,last_seen_year,alias_count,alias_titles,legacy_normalized_titles,observed_content_kinds,observed_content_forms,content_class,cleanup_flags,merge_confidence,match_status,match_confidence,canonical_title,canonical_slug,entity_type,release_year,wikipedia_url,wikidata_id,wikidata_url,categories,genres,themes,rating_value,rating_scale,rating_count,rating_source,rating_url,metadata_sources,match_action,match_notes,data_quality_score
juiced,Juiced,CBS072005DVD,4,4,high,disc-metadata-value,juiced,2005,CBS062007DVD,2007,2,Juiced; Juiced v 1 01,juiced; juiced v 1 01,unknown,game_title,game,stripped_version_suffix,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
juiced hot import nights,Juiced Hot Import Nights,CBS082007DVD,2,2,high,disc-metadata-value,juicedhotimportnights,2007,CBS022008DVDGold,2008,1,Juiced Hot Import Nights,juiced hot import nights,unknown,game_title,game,,high,matched,high,Juiced 2: Hot Import Nights,juiced-2-hot-import-nights,game,2007,https://en.wikipedia.org/wiki/Juiced_2%3A_Hot_Import_Nights,Q2620589,https://www.wikidata.org/wiki/Q2620589,racing,racing video game,,59/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
jumper,Jumper,CBS082007DVDBonus,1,1,high,disc-metadata-value,jumper,2007,CBS082007DVDBonus,2007,1,Jumper,jumper,unknown,game_title,game,,high,matched,high,Jumper (videogioco),jumper-videogioco,game,2004,https://it.wikipedia.org/wiki/Jumper_%28videogioco%29,Q25409593,https://www.wikidata.org/wiki/Q25409593,other,,,,,,,,wikidata,retained_best_alias_match,,92
jumping jack,Jumping Jack,CBS082007DVDBonus,1,1,high,disc-metadata-value,jumpingjack,2007,CBS082007DVDBonus,2007,1,Jumping Jack,jumping jack,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
jumping jokers,Jumping Jokers,CBS092001,1,1,high,vollversion-fullversion,jumpingjokers,2001,CBS092001,2001,1,Jumping Jokers,jumping jokers,full_version,full_version_game,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
just cause,Just Cause,CBS102006DVD,2,2,high,disc-metadata-value,justcause,2006,CBS102006DVDGOLD,2006,1,Just Cause,just cause,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikimedia entities; demoted_weak_alias_match,60
kaffeeklatsch,Kaffeeklatsch,CBS082007DVDBonus,1,1,high,disc-metadata-value,kaffeeklatsch,2007,CBS082007DVDBonus,2007,1,Kaffeeklatsch,kaffeeklatsch,unknown,game_title,game,,high,matched,high,Kaffeeklatsch,kaffeeklatsch,unknown,,https://de.wikipedia.org/wiki/Kaffeeklatsch,Q1678474,https://www.wikidata.org/wiki/Q1678474,,,,,,,,,wikidata,retained_best_alias_match,,85
kakuro xxl,Kakuro XXL,CBS072006DVD,1,1,high,disc-metadata-value,kakuroxxl,2006,CBS072006DVD,2006,1,Kakuro XXL,kakuro xxl,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
kameo elements of power,Kameo Elements of Power,CBS022006DVD,1,1,high,disc-metadata-value,kameoelementsofpower,2006,CBS022006DVD,2006,1,Kameo Elements of Power,kameo elements of power,unknown,game_title,game,,high,matched,high,Kameo,kameo,game,2005,https://en.wikipedia.org/wiki/Kameo,Q2712020,https://www.wikidata.org/wiki/Q2712020,action; adventure,action-adventure game,,,,,,,wikidata,retained_best_alias_match,,92
kao the kangaroo round 2,Kao the Kangaroo: Round 2,CBS042006DVD,1,1,high,disc-metadata-value,kaothekangarooround2,2006,CBS042006DVD,2006,1,Kao the Kangaroo Round 2,kao the kangaroo round 2,unknown,game_title,game,display_title_backfilled_from_canonical,high,matched,high,Kao the Kangaroo: Round 2,kao-the-kangaroo-round-2,game,2005,https://en.wikipedia.org/wiki/Kao_the_Kangaroo%3A_Round_2,Q6366036,https://www.wikidata.org/wiki/Q6366036,action; adventure,action-adventure game,,,,,,,wikidata,retained_best_alias_match,,92
karomatix,Karomatix,CBS122005DVD,1,1,high,disc-metadata-value,karomatix,2005,CBS122005DVD,2005,1,Karomatix,karomatix,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
karting race,Karting Race,CBS082007DVDBonus,1,1,high,disc-metadata-value,kartingrace,2007,CBS082007DVDBonus,2007,1,Karting Race,karting race,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
kaufzeit,Kaufzeit,CBS012005DVD,1,1,high,disc-metadata-value,kaufzeit,2005,CBS012005DVD,2005,1,Kaufzeit,kaufzeit,unknown,game_title,game,,high,unmatched,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,unmatched_source_alias; no confident Wikimedia match; demoted_weak_alias_match,55
kee pass,Kee Pass,CBS082008DVD,1,1,high,disc-metadata-value,keepass,2008,CBS082008DVD,2008,1,Kee Pass,kee pass,unknown,game_title,game,,high,ambiguous,low,,,,,,,,,,,,,,,,,demoted_weak_alias_match,ambiguous_source_alias; multiple plausible Wikipedia search results; demoted_weak_alias_match,60
keepsake,Keepsake,CBS022006DVD,4,5,high,disc-manifest-path; disc-metadata-value,keepsake,2006,CBS072007DVD,2007,2,Keepsake; Keepsakev,keepsake; keepsakev,unknown,game_title,game,stripped_version_suffix,high,matched,high,Keepsake (video game),keepsake-video-game,game,2006,https://en.wikipedia.org/wiki/Keepsake_%28video_game%29,Q1112638,https://www.wikidata.org/wiki/Q1112638,adventure,adventure video game,,70/100,,,Kritikanstvo,https://www.wikidata.org/wiki/Q117190337,wikidata,retained_best_alias_match,,95
kiki the nano bot,Kiki the nano bot,CBS032006DVD,2,2,high,disc-metadata-value,kikithenanobot,2006,CBS082007DVDBonus,2007,2,Kiki the Nanobot; Kikithe Nanobot,kiki the nanobot; kikithe nanobot,unknown,game_title,game,display_title_backfilled_from_canonical,medium,matched,high,Kiki the nano bot,kiki-the-nano-bot,game,,https://en.wikipedia.org/wiki/Kiki_the_nano_bot,Q3281560,https://www.wikidata.org/wiki/Q3281560,puzzle,puzzle video game,,,,,,,wikidata,retained_best_alias_match,,83
